rank_by_code_macro_at_100,run_label,run_id,started_at,ott_baseline,code_macro_recall_at_100,naive_vague,naive_branded,naive_specific,emu_generic,emu_ordinary,emu_specific,original,loo,use_vector,use_composite,use_facts,use_kg_context,triage,use_curated,config_json
48,ai_semantic_triage,116,2026-06-03T17:35:29.117866,False,0.6127687856751897,0.5763888888888888,0.5919540229885057,0.6104474548440065,0.5689655172413793,0.6336206896551724,0.646551724137931,0.6614532019704433,True,True,,False,False,True,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": true, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
49,exp2_off_kg_vec,134,2026-06-03T18:40:20.760298,False,0.6049261083743842,0.6117816091954023,0.5597701149425287,0.5925287356321839,0.5862068965517241,0.5991379310344828,0.603448275862069,0.6816091954022988,True,True,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": false, ""use_vector"": true}"
50,grid_C0F1K0T0,138,2026-06-03T18:52:14.628089,False,0.6024630541871921,0.6031609195402299,0.5511494252873563,0.5925287356321839,0.5862068965517241,0.5991379310344828,0.603448275862069,0.6816091954022988,True,True,False,True,False,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_composite"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
51,ai_facets,132,2026-06-03T18:20:45.720708,False,0.6,0.5945402298850575,0.5511494252873563,0.5925287356321839,0.5862068965517241,0.5991379310344828,0.603448275862069,0.6729885057471264,True,True,,True,False,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
52,production_v2,141,2026-06-03T18:55:15.915342,False,0.5526340996168583,0.5866858237547893,0.5280172413793104,0.5255747126436782,0.5603448275862069,0.5474137931034483,0.5387931034482759,0.5816091954022988,True,False,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": false}"
53,v2_plus_multi_query,127,2026-06-03T18:02:29.757733,False,0.5518951833607006,0.5409961685823754,0.5258620689655172,0.5818965517241379,0.5474137931034483,0.5474137931034483,0.5387931034482759,0.5808908045977011,True,False,,True,True,False,False,"{""active_gold_count"": 1059, ""facts_vec_cap"": 0.9, ""kg_vec_cap"": 0.9, ""loo"": true, ""multi_query"": true, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": false}"
54,exp2_off_description_vec,162,2026-06-03T22:01:52.847966,False,0.5481185002736727,0.5723180076628352,0.5280172413793104,0.5255747126436782,0.5517241379310345,0.5387931034482759,0.5387931034482759,0.5816091954022988,True,False,,True,True,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": true, ""use_facts_vec"": true, ""use_kg_context"": true, ""use_kg_vec"": true, ""use_vector"": false}"
55,fts_plus_description_vec,125,2026-06-03T18:01:38.453623,False,0.5360270544999609,0.5768199233716476,0.4813218390804598,0.4993021346469622,0.5474137931034483,0.5301724137931034,0.5129310344827587,0.6042282430213465,False,True,,False,False,False,,"{""active_gold_count"": 1059, ""loo"": false, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
56,ai_semantic,119,2026-06-03T17:40:31.469873,False,0.4938472515442959,0.5365900383141763,0.3857758620689655,0.473440065681445,0.5043103448275862,0.4525862068965517,0.5,0.6042282430213465,True,True,,False,False,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
57,grid_C0F0K0T0,115,2026-06-03T17:35:29.117494,False,0.4938472515442959,0.5365900383141763,0.3857758620689655,0.473440065681445,0.5043103448275862,0.4525862068965517,0.5,0.6042282430213465,True,True,False,False,False,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_composite"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
58,veconly_noadapter,149,2026-06-03T19:39:03.937483,False,0.4938472515442959,0.5365900383141763,0.3857758620689655,0.473440065681445,0.5043103448275862,0.4525862068965517,0.5,0.6042282430213465,True,True,,False,False,False,False,"{""active_gold_count"": 1059, ""loo"": true, ""multi_query"": false, ""personas"": [""naive_vague"", ""naive_branded"", ""naive_specific"", ""emu_generic"", ""emu_ordinary"", ""emu_specific"", ""original""], ""retrieval_limit"": 500, ""triage"": false, ""use_curated"": false, ""use_facts"": false, ""use_facts_vec"": false, ""use_kg_context"": false, ""use_kg_vec"": false, ""use_vector"": true}"
